16,35,36,61,64,keyword,alls,binary,value
0,0,0,0,1,비노,1,1.0,1.0
0,1,0,0,0,활기,1,1.0,1.0
1,0,0,0,0,말리,1,1.0,1.0
0,0,0,0,1,선포,1,1.0,1.0
1,0,0,0,0,구나,1,1.0,1.0
1,0,0,0,0,악법,1,1.0,1.0
0,1,0,0,0,답사,1,1.0,1.0
0,0,1,0,0,감사원,1,1.0,1.0
0,0,0,0,1,적신호,1,1.0,1.0
0,0,0,0,1,투철,1,1.0,1.0
0,0,0,0,1,어이,1,1.0,1.0
0,0,0,1,0,분량,1,1.0,1.0
1,0,0,0,0,부인과,1,1.0,1.0
0,1,0,0,0,단내,1,1.0,1.0
0,1,0,0,0,등하교,1,1.0,1.0
0,1,0,0,0,원유,1,1.0,1.0
0,0,0,1,0,선대,1,1.0,1.0
0,0,1,0,0,접종,1,1.0,1.0
0,0,1,0,0,약화,1,1.0,1.0
1,0,0,0,0,전정긍긍,1,1.0,1.0
0,1,0,0,0,일원화,1,1.0,1.0
0,1,0,0,0,회의실,1,1.0,1.0
0,0,0,1,0,불명예,1,1.0,1.0
0,0,1,0,0,사브,1,1.0,1.0
0,0,0,1,0,박광온,1,1.0,1.0
0,1,0,0,0,군림합,1,1.0,1.0
